Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Virginia Squires,84.0,241.2,39.6,88.5,0.448,0.9,3.4,0.266,38.7,85.1,0.455,18.9,25.5,0.739,15.2,28.8,43.9,20.3,7.8,3.5,19.8,25.7,99.0,1975,False,False
League Average,84.0,241.8,44.2,93.5,0.473,1.1,3.7,0.293,43.1,89.8,0.48,19.3,25.1,0.767,16.3,31.6,47.9,24.0,9.1,4.9,18.4,23.4,108.8,1975,False,False
Utah Stars,6.0,240.0,47.0,94.0,0.5,1.8,4.3,0.423,45.2,89.7,0.504,23.0,29.7,0.775,20.2,30.3,50.5,26.3,7.3,5.7,20.7,27.0,118.8,1975,,True
Denver Nuggets,13.0,240.0,44.4,92.1,0.482,0.4,2.2,0.172,44.0,89.8,0.49,25.8,29.9,0.861,15.6,27.7,43.3,23.3,8.8,4.5,17.6,26.8,114.9,1975,,True
Indiana Pacers,18.0,242.8,42.6,91.4,0.466,2.9,9.2,0.321,39.7,82.2,0.482,20.7,27.8,0.743,16.2,32.6,48.7,22.2,8.7,5.7,16.5,24.1,108.8,1975,,True
San Antonio Spurs,6.0,248.3,44.7,99.2,0.45,0.7,3.7,0.182,44.0,95.5,0.461,18.0,24.8,0.725,18.8,35.7,54.5,22.8,5.8,4.5,13.8,25.8,108.0,1975,,True
Kentucky Colonels,15.0,240.0,42.7,90.9,0.47,0.4,1.6,0.25,42.3,89.3,0.474,20.7,26.3,0.789,16.9,32.9,49.7,25.7,7.9,4.5,16.3,23.1,106.6,1975,,True
Spirits of St. Louis,10.0,240.0,42.1,90.4,0.466,0.7,2.4,0.292,41.4,88.0,0.47,20.8,28.3,0.735,17.0,33.7,50.7,21.9,9.0,5.6,18.0,24.5,105.7,1975,,True
New York Nets,5.0,240.0,42.6,91.8,0.464,1.4,6.0,0.233,41.2,85.8,0.48,15.8,20.8,0.76,13.4,30.2,43.6,21.8,7.2,9.0,16.2,27.6,102.4,1975,,True
Memphis Sounds,5.0,240.0,38.2,81.6,0.468,1.4,4.8,0.292,36.8,76.8,0.479,18.6,23.2,0.802,11.8,28.4,40.2,17.6,7.4,3.4,13.2,19.2,96.4,1975,,True
League Average,10.0,241.3,43.1,91.5,0.471,1.3,4.4,0.291,41.8,87.1,0.48,21.1,27.1,0.778,16.4,31.6,48.0,23.1,8.1,5.2,16.7,24.7,108.5,1975,,True
Golden State Warriors,82.0,241.2,45.3,97.3,0.465,,,,45.3,97.3,0.465,17.9,23.4,0.768,17.3,34.8,52.1,25.3,11.9,4.5,20.9,25.7,108.5,1975,True,False
Buffalo Braves,82.0,240.6,43.3,91.1,0.476,,,,43.3,91.1,0.476,21.2,27.1,0.78,13.5,33.4,46.9,25.2,8.8,5.6,20.9,22.9,107.8,1975,True,False
Boston Celtics,82.0,240.9,43.7,95.4,0.458,,,,43.7,95.4,0.458,19.0,24.0,0.791,16.0,36.0,52.0,26.3,8.1,3.5,19.8,23.3,106.5,1975,True,False
Atlanta Hawks,82.0,241.5,41.8,95.4,0.438,,,,41.8,95.4,0.438,21.6,29.7,0.728,17.6,32.4,49.9,22.9,9.1,2.8,18.9,24.0,105.1,1975,False,False
Washington Bullets,82.0,241.5,43.4,93.9,0.462,,,,43.4,93.9,0.462,18.0,23.9,0.752,13.8,33.7,47.5,24.5,11.3,5.0,19.4,23.9,104.7,1975,True,False
Houston Rockets,82.0,241.2,42.0,88.2,0.477,,,,42.0,88.2,0.477,19.8,24.8,0.799,14.4,30.4,44.8,26.3,9.1,4.3,21.5,25.2,103.9,1975,True,False
Portland Trail Blazers,82.0,242.4,41.6,86.7,0.48,,,,41.6,86.7,0.48,20.5,27.6,0.742,12.8,33.6,46.4,26.9,9.2,4.9,22.4,25.1,103.8,1975,False,False
Los Angeles Lakers,82.0,242.1,41.6,92.4,0.45,,,,41.6,92.4,0.45,20.0,26.6,0.752,16.0,33.7,49.7,25.5,9.2,5.2,21.8,25.4,103.2,1975,False,False
Seattle SuperSonics,82.0,242.4,42.5,93.3,0.456,,,,42.5,93.3,0.456,18.0,24.0,0.749,13.9,31.5,45.4,24.4,10.2,4.6,19.6,24.1,103.1,1975,True,False
New Orleans Jazz,82.0,240.6,40.3,91.6,0.44,,,,40.3,91.6,0.44,20.9,27.4,0.764,14.0,31.9,45.9,22.2,8.8,3.1,22.0,27.1,101.5,1975,False,False
Kansas City-Omaha Kings,82.0,240.6,39.7,88.5,0.449,,,,39.7,88.5,0.449,21.9,26.7,0.821,12.1,33.5,45.6,22.6,8.8,4.2,18.8,24.0,101.4,1975,True,False
Phoenix Suns,82.0,241.5,41.2,92.2,0.447,,,,41.2,92.2,0.447,18.7,25.4,0.737,16.5,32.7,49.2,22.9,8.1,3.9,21.5,25.5,101.2,1975,False,False
Milwaukee Bucks,82.0,241.5,42.1,89.8,0.468,,,,42.1,89.8,0.468,16.5,21.3,0.775,12.5,33.7,46.2,23.6,7.3,4.9,18.8,23.8,100.7,1975,False,False
New York Knicks,82.0,240.6,41.0,91.0,0.45,,,,41.0,91.0,0.45,18.5,24.0,0.772,12.0,32.3,44.3,20.4,8.0,3.7,16.8,24.4,100.4,1975,True,False
Philadelphia 76ers,82.0,241.5,40.5,91.2,0.445,,,,40.5,91.2,0.445,18.7,24.9,0.749,14.6,33.0,47.6,20.8,7.0,3.2,19.4,24.1,99.8,1975,False,False
Cleveland Cavaliers,82.0,242.4,41.6,89.9,0.462,,,,41.6,89.9,0.462,15.9,21.4,0.742,12.9,30.5,43.4,23.2,7.3,4.2,17.8,22.9,99.0,1975,False,False
Detroit Pistons,82.0,240.3,40.1,86.0,0.466,,,,40.1,86.0,0.466,18.7,24.1,0.776,12.2,30.7,42.9,23.4,8.3,4.6,19.0,22.8,98.9,1975,True,False
Chicago Bulls,82.0,242.4,38.6,86.4,0.447,,,,38.6,86.4,0.447,20.9,26.9,0.777,13.5,34.0,47.5,22.4,8.1,4.6,18.1,23.8,98.1,1975,True,False
League Average,82.0,241.4,41.7,91.1,0.457,,,,41.7,91.1,0.457,19.3,25.2,0.765,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,1975,False,False
Houston Rockets,8.0,240.0,43.3,89.3,0.485,,,,43.3,89.3,0.485,22.0,27.5,0.8,13.1,28.4,41.5,26.3,8.1,3.6,18.3,24.4,108.5,1975,,True
Boston Celtics,11.0,240.0,44.1,98.4,0.448,,,,44.1,98.4,0.448,18.9,23.3,0.813,16.9,31.3,48.2,26.1,7.9,2.1,16.7,25.4,107.1,1975,,True
Washington Bullets,17.0,240.0,41.1,87.1,0.472,,,,41.1,87.1,0.472,20.7,27.9,0.743,12.0,33.9,45.9,21.1,8.3,5.1,20.1,23.6,102.8,1975,,True
Buffalo Braves,7.0,240.0,41.6,91.4,0.455,,,,41.6,91.4,0.455,18.9,25.3,0.746,12.9,30.1,43.0,21.0,9.1,5.4,18.1,23.9,102.0,1975,,True
Golden State Warriors,17.0,240.0,41.1,90.8,0.452,,,,41.1,90.8,0.452,18.1,25.9,0.7,15.5,33.9,49.4,21.7,11.3,6.6,19.4,28.2,100.2,1975,,True
Seattle Supersonics,9.0,240.0,40.1,88.4,0.454,,,,40.1,88.4,0.454,19.2,25.2,0.762,12.3,32.0,44.3,21.7,9.9,4.8,19.6,24.3,99.4,1975,,True
Detroit Pistons,3.0,240.0,40.7,81.7,0.498,,,,40.7,81.7,0.498,16.0,24.0,0.667,11.7,33.7,45.3,28.7,6.0,6.3,19.7,19.3,97.3,1975,,True
Chicago Bulls,13.0,241.9,36.7,84.4,0.435,,,,36.7,84.4,0.435,20.5,27.8,0.738,13.8,34.9,48.8,18.2,7.0,3.7,17.5,24.5,93.9,1975,,True
New York Knicks,3.0,240.0,35.7,80.7,0.442,,,,35.7,80.7,0.442,20.7,26.0,0.795,11.3,29.7,41.0,18.3,9.0,4.0,20.3,22.7,92.0,1975,,True
Kansas City-Omaha Kings,6.0,244.2,35.8,82.7,0.433,,,,35.8,82.7,0.433,20.2,25.5,0.791,9.0,32.8,41.8,19.8,7.3,3.7,16.8,25.5,91.8,1975,,True
League Average,9.0,240.5,40.4,88.7,0.456,,,,40.4,88.7,0.456,19.6,26.2,0.751,13.4,32.6,46.0,21.9,8.7,4.6,18.6,24.9,100.5,1975,,True
Denver Nuggets,84.0,241.8,48.3,95.7,0.505,0.5,2.1,0.23,47.8,93.5,0.511,24.7,31.8,0.779,15.6,33.0,48.7,29.1,10.6,6.4,20.9,23.7,121.9,1976,True,False
San Antonio Spurs,84.0,241.8,46.3,94.6,0.489,0.3,1.5,0.2,46.0,93.0,0.494,22.7,27.9,0.813,15.5,34.8,50.4,25.5,9.0,6.9,18.8,24.2,115.6,1976,True,False
Utah Stars,16.0,244.7,44.7,93.6,0.477,1.4,4.5,0.319,43.3,89.1,0.485,24.1,29.2,0.827,16.6,32.3,48.8,23.6,7.0,2.4,18.3,29.3,114.9,1976,False,False
Indiana Pacers,84.0,242.1,44.5,101.5,0.438,3.0,9.2,0.324,41.5,92.3,0.449,20.7,26.8,0.772,19.2,32.6,51.8,24.8,11.2,5.5,17.3,23.6,112.6,1976,True,False
New York Nets,84.0,242.7,44.7,97.0,0.46,1.3,4.4,0.298,43.3,92.6,0.468,21.1,27.8,0.761,17.8,32.7,50.5,21.6,10.9,6.2,18.2,26.3,111.8,1976,True,False
Kentucky Colonels,84.0,243.3,44.7,95.2,0.47,1.3,3.9,0.335,43.4,91.3,0.475,20.3,27.5,0.736,17.4,34.5,51.9,24.6,7.9,6.3,20.2,26.9,111.0,1976,True,False
Spirits of St. Louis,84.0,243.6,45.1,97.3,0.463,0.8,2.9,0.272,44.3,94.5,0.469,17.9,23.6,0.756,17.6,33.5,51.0,23.7,10.8,6.4,19.8,25.6,108.9,1976,False,False
Virginia Squires,83.0,242.4,41.3,94.5,0.437,0.9,3.3,0.263,40.5,91.2,0.444,23.4,30.5,0.765,17.7,29.6,47.2,20.8,10.0,4.3,21.2,25.8,106.9,1976,False,False
San Diego Sails,11.0,240.0,39.3,92.7,0.424,0.5,2.2,0.25,38.7,90.5,0.428,19.7,25.3,0.781,18.4,31.6,50.0,19.5,6.5,6.0,17.8,23.0,98.8,1976,False,False
League Average,68.0,242.5,44.9,96.4,0.466,1.1,3.9,0.295,43.7,92.5,0.473,21.6,28.0,0.771,17.3,32.9,50.2,24.2,9.9,5.9,19.4,25.2,112.5,1976,False,False
Denver Nuggets,13.0,243.8,44.9,93.4,0.481,0.2,1.5,0.158,44.7,91.9,0.486,26.0,32.6,0.797,16.2,33.3,49.5,23.6,7.2,5.0,20.2,27.2,116.1,1976,,True
Kentucky Colonels,10.0,245.0,47.0,97.4,0.483,1.5,4.3,0.349,45.5,93.1,0.489,18.3,23.2,0.789,17.3,32.1,49.4,26.6,7.5,6.3,17.4,27.4,113.8,1976,,True
New York Nets,13.0,240.0,43.4,96.5,0.449,1.5,5.8,0.253,41.9,90.8,0.462,22.9,30.2,0.758,18.4,29.2,47.5,17.9,10.2,5.4,16.2,29.5,111.2,1976,,True
San Antonio Spurs,7.0,240.0,40.9,89.6,0.456,0.4,1.9,0.231,40.4,87.7,0.461,25.4,32.3,0.788,17.7,34.7,52.4,21.9,8.4,7.9,18.1,25.1,107.6,1976,,True
Indiana Pacers,3.0,240.0,41.0,89.3,0.459,2.7,8.3,0.32,38.3,81.0,0.473,21.0,26.0,0.808,15.7,31.0,46.7,26.0,10.3,3.7,16.0,23.7,105.7,1976,,True
League Average,9.0,242.2,44.1,94.3,0.467,1.0,3.8,0.274,43.0,90.5,0.475,23.0,29.4,0.783,17.2,31.9,49.2,22.5,8.5,5.7,17.8,27.3,112.2,1976,,True
Golden State Warriors,82.0,241.8,45.0,97.3,0.462,,,,45.0,97.3,0.462,19.8,26.3,0.751,16.5,35.5,52.0,24.9,11.3,5.1,19.7,24.7,109.8,1976,True,False
Buffalo Braves,82.0,240.3,42.5,89.1,0.476,,,,42.5,89.1,0.476,22.4,28.9,0.774,12.2,33.2,45.4,25.8,8.8,4.5,21.3,24.6,107.3,1976,True,False
Los Angeles Lakers,82.0,240.3,43.3,93.0,0.465,,,,43.3,93.0,0.465,20.4,26.4,0.772,13.8,35.0,48.8,23.6,8.2,6.4,19.7,24.7,106.9,1976,False,False
Philadelphia 76ers,82.0,242.1,42.2,94.5,0.447,,,,42.2,94.5,0.447,22.1,30.1,0.733,16.9,32.7,49.6,20.2,9.9,4.5,21.1,26.7,106.5,1976,True,False
Seattle SuperSonics,82.0,241.2,43.2,94.3,0.458,,,,43.2,94.3,0.458,20.0,28.2,0.711,14.8,30.5,45.3,23.6,10.6,4.3,19.7,26.0,106.4,1976,True,False
Boston Celtics,82.0,240.9,43.0,96.4,0.446,,,,43.0,96.4,0.446,20.2,25.9,0.78,16.7,36.2,52.9,24.1,6.8,3.2,19.6,24.4,106.2,1976,True,False
Houston Rockets,82.0,240.9,43.2,89.1,0.485,,,,43.2,89.1,0.485,19.7,25.0,0.79,12.9,32.2,45.2,27.0,8.0,4.4,20.3,24.9,106.2,1976,False,False
Phoenix Suns,82.0,242.4,41.7,88.4,0.472,,,,41.7,88.4,0.472,21.7,28.5,0.762,13.5,31.2,44.7,25.4,10.4,4.3,22.6,24.6,105.1,1976,True,False
Detroit Pistons,82.0,241.2,43.0,92.7,0.464,,,,43.0,92.7,0.464,19.0,25.0,0.76,14.7,31.0,45.7,21.4,9.6,4.0,19.7,25.4,104.9,1976,True,False
New Orleans Jazz,82.0,242.4,40.9,91.4,0.447,,,,40.9,91.4,0.447,22.3,29.5,0.758,14.5,33.9,48.4,21.5,9.1,4.2,20.2,26.5,104.1,1976,False,False
Portland Trail Blazers,82.0,240.6,41.7,88.9,0.469,,,,41.7,88.9,0.469,20.7,28.7,0.723,13.6,34.7,48.3,25.5,9.5,5.0,22.8,25.5,104.1,1976,False,False
Kansas City Kings,82.0,240.9,40.7,90.0,0.453,,,,40.7,90.0,0.453,21.9,28.5,0.767,13.8,32.5,46.4,22.7,9.2,4.0,19.6,25.1,103.3,1976,False,False
Washington Bullets,82.0,242.7,41.7,88.2,0.472,,,,41.7,88.2,0.472,19.5,27.0,0.72,12.4,34.3,46.7,22.2,8.5,5.9,20.4,23.4,102.8,1976,True,False
New York Knicks,82.0,241.5,42.0,92.1,0.456,,,,42.0,92.1,0.456,18.7,24.2,0.772,12.5,33.2,45.7,20.2,7.0,3.2,17.1,24.5,102.7,1976,False,False
Atlanta Hawks,82.0,241.5,40.3,89.5,0.45,,,,40.3,89.5,0.45,22.1,30.1,0.733,14.9,31.0,45.9,20.3,9.6,3.4,18.9,24.2,102.6,1976,False,False
Milwaukee Bucks,82.0,241.8,42.1,90.7,0.465,,,,42.1,90.7,0.465,17.5,23.8,0.736,13.3,32.8,46.1,22.2,8.7,5.7,19.8,24.9,101.8,1976,True,False
Cleveland Cavaliers,82.0,241.5,42.6,94.0,0.454,,,,42.6,94.0,0.454,16.4,22.3,0.737,14.5,31.6,46.1,22.5,7.8,4.8,16.2,22.8,101.7,1976,True,False
Chicago Bulls,82.0,241.2,37.9,91.5,0.414,,,,37.9,91.5,0.414,20.1,26.8,0.751,16.8,33.2,50.0,20.8,7.6,3.1,17.2,24.1,95.9,1976,False,False
League Average,82.0,241.4,42.1,91.7,0.458,,,,42.1,91.7,0.458,20.2,26.9,0.751,14.4,33.0,47.4,23.0,8.9,4.4,19.8,24.8,104.3,1976,False,False
Philadelphia 76ers,3.0,248.3,44.0,95.7,0.46,,,,44.0,95.7,0.46,26.3,34.0,0.775,17.3,32.7,50.0,21.3,7.7,6.3,16.7,30.3,114.3,1976,,True
Milwaukee Bucks,3.0,240.0,42.3,77.7,0.545,,,,42.3,77.7,0.545,27.7,35.0,0.79,6.7,29.0,35.7,21.7,6.3,6.0,21.7,26.3,112.3,1976,,True
Golden State Warriors,13.0,245.8,45.4,96.6,0.47,,,,45.4,96.6,0.47,21.3,27.6,0.772,16.8,31.2,48.0,24.2,12.8,5.9,18.7,27.5,112.1,1976,,True
Detroit Pistons,9.0,242.8,45.1,92.8,0.486,,,,45.1,92.8,0.486,20.1,25.0,0.804,15.7,28.7,44.3,23.7,7.7,5.6,21.1,28.1,110.3,1976,,True
Seattle Supersonics,6.0,240.0,41.2,85.8,0.48,,,,41.2,85.8,0.48,25.0,35.5,0.704,15.0,27.0,42.0,19.5,9.8,4.3,23.2,29.2,107.3,1976,,True
Phoenix Suns,19.0,246.6,41.5,89.5,0.464,,,,41.5,89.5,0.464,22.5,29.7,0.756,13.5,30.1,43.6,24.7,8.6,5.5,20.8,26.6,105.5,1976,,True
Buffalo Braves,9.0,242.8,41.4,86.2,0.481,,,,41.4,86.2,0.481,20.3,27.3,0.744,10.0,31.6,41.6,25.4,6.8,5.1,18.9,26.4,103.2,1976,,True
Boston Celtics,18.0,244.2,39.3,90.2,0.435,,,,39.3,90.2,0.435,22.1,27.6,0.802,15.1,35.0,50.1,22.6,6.2,2.3,19.8,26.7,100.7,1976,,True
Cleveland Cavaliers,13.0,241.9,38.0,88.1,0.431,,,,38.0,88.1,0.431,16.0,22.8,0.703,14.1,30.5,44.6,20.1,5.5,5.5,15.0,25.2,92.0,1976,,True
Washington Bullets,7.0,243.6,35.9,80.0,0.448,,,,35.9,80.0,0.448,20.0,29.3,0.683,11.0,35.0,46.0,15.0,5.9,7.1,19.0,24.4,91.7,1976,,True
League Average,10.0,244.0,41.2,89.3,0.461,,,,41.2,89.3,0.461,21.3,28.1,0.756,14.0,31.4,45.4,22.5,7.9,5.0,19.4,26.8,103.6,1976,,True
San Antonio Spurs,82.0,240.9,45.3,93.4,0.485,,,,45.3,93.4,0.485,24.5,30.8,0.797,13.5,31.1,44.6,25.8,10.5,6.1,21.6,24.0,115.0,1977,True,False
Denver Nuggets,82.0,241.2,43.8,91.1,0.481,,,,43.8,91.1,0.481,25.0,33.9,0.738,15.7,32.9,48.6,27.6,11.6,5.7,24.5,26.1,112.6,1977,True,False
Portland Trail Blazers,82.0,240.6,44.2,91.9,0.481,,,,44.2,91.9,0.481,23.4,30.7,0.762,15.4,33.0,48.3,24.3,10.6,6.0,21.4,27.1,111.7,1977,True,False
Golden State Warriors,82.0,241.2,45.4,95.5,0.475,,,,45.4,95.5,0.475,20.1,26.5,0.759,15.9,32.2,48.0,25.9,11.0,5.3,19.8,25.1,110.9,1977,True,False
Philadelphia 76ers,82.0,241.2,42.8,89.3,0.48,,,,42.8,89.3,0.48,24.5,33.3,0.736,15.8,33.6,49.3,24.0,9.9,6.8,23.4,25.3,110.2,1977,True,False
Detroit Pistons,82.0,240.6,45.9,95.0,0.483,,,,45.9,95.0,0.483,17.6,23.9,0.736,14.3,30.4,44.7,24.4,10.7,5.6,21.0,26.8,109.4,1977,True,False
New York Knicks,82.0,240.9,44.6,91.8,0.486,,,,44.6,91.8,0.486,19.4,25.3,0.764,11.9,32.7,44.6,23.9,8.7,3.7,20.5,24.5,108.6,1977,False,False
Milwaukee Bucks,82.0,240.3,44.7,95.6,0.468,,,,44.7,95.6,0.468,18.9,25.3,0.75,14.9,30.7,45.6,24.0,9.6,4.2,20.1,25.5,108.4,1977,False,False
Kansas City Kings,82.0,241.8,43.4,94.3,0.46,,,,43.4,94.3,0.46,20.8,26.1,0.797,14.9,31.6,46.5,24.2,10.4,4.7,19.2,26.5,107.7,1977,False,False
Los Angeles Lakers,82.0,241.5,44.7,93.4,0.478,,,,44.7,93.4,0.478,17.5,23.7,0.74,14.4,32.0,46.4,25.1,9.8,5.4,18.8,22.8,106.9,1977,True,False
Indiana Pacers,82.0,240.9,43.0,95.6,0.449,,,,43.0,95.6,0.449,20.9,28.0,0.746,17.2,31.5,48.7,24.5,11.3,5.6,19.6,24.8,106.8,1977,False,False
Houston Rockets,82.0,241.2,43.1,89.3,0.483,,,,43.1,89.3,0.483,20.2,25.6,0.787,15.3,32.1,47.4,23.3,7.5,5.0,19.5,26.0,106.4,1977,True,False
Washington Bullets,82.0,240.6,42.9,91.2,0.47,,,,42.9,91.2,0.47,19.8,27.6,0.716,14.5,33.6,48.1,23.6,7.8,5.3,20.5,23.7,105.5,1977,True,False
Buffalo Braves,82.0,240.6,41.0,91.2,0.45,,,,41.0,91.2,0.45,22.9,30.4,0.754,14.8,32.0,46.8,23.0,8.3,4.8,20.7,22.5,105.0,1977,False,False
Phoenix Suns,82.0,240.6,41.5,88.4,0.47,,,,41.5,88.4,0.47,21.8,28.6,0.764,12.9,30.4,43.3,25.6,9.1,4.2,22.3,25.5,104.9,1977,False,False
New Orleans Jazz,82.0,241.2,42.0,92.7,0.453,,,,42.0,92.7,0.453,20.6,26.6,0.773,15.2,34.5,49.7,22.6,7.5,4.4,20.8,25.6,104.6,1977,False,False
Boston Celtics,82.0,241.8,42.2,94.8,0.445,,,,42.2,94.8,0.445,20.1,26.6,0.756,15.1,36.2,51.3,24.5,6.2,3.2,20.4,24.9,104.5,1977,True,False
Seattle SuperSonics,82.0,241.5,41.9,93.2,0.45,,,,41.9,93.2,0.45,20.1,29.1,0.69,16.5,29.7,46.2,21.6,11.4,6.1,21.5,26.8,104.0,1977,False,False
Atlanta Hawks,82.0,240.3,40.0,87.5,0.457,,,,40.0,87.5,0.457,22.4,29.9,0.749,15.2,30.6,45.8,23.0,8.9,4.0,21.7,28.1,102.4,1977,False,False
Cleveland Cavaliers,82.0,241.2,42.1,93.8,0.449,,,,42.1,93.8,0.449,17.9,24.3,0.737,16.0,31.3,47.3,22.5,7.1,5.8,16.5,23.8,102.1,1977,True,False
Chicago Bulls,82.0,241.5,39.6,87.6,0.452,,,,39.6,87.6,0.452,19.7,26.3,0.747,15.8,33.0,48.7,24.3,8.5,4.4,18.9,22.8,98.9,1977,True,False
New York Nets,82.0,240.6,37.8,88.1,0.429,,,,37.8,88.1,0.429,20.4,27.7,0.736,14.1,31.1,45.2,17.3,9.8,5.3,19.9,26.6,95.9,1977,False,False
League Average,82.0,241.0,42.8,92.0,0.465,,,,42.8,92.0,0.465,20.8,27.7,0.751,15.0,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,1977,False,False
Houston Rockets,12.0,242.1,45.8,92.6,0.494,,,,45.8,92.6,0.494,17.4,23.6,0.739,16.7,29.7,46.3,23.3,7.8,3.4,18.1,25.4,108.9,1977,,True
Philadelphia 76ers,19.0,240.0,42.2,89.2,0.473,,,,42.2,89.2,0.473,23.3,32.7,0.712,13.2,31.5,44.7,22.6,9.3,5.7,19.4,25.3,107.6,1977,,True
Portland Trail Blazers,19.0,241.3,44.1,89.5,0.493,,,,44.1,89.5,0.493,19.2,26.4,0.727,12.2,33.0,45.2,27.7,10.8,6.7,22.3,28.9,107.4,1977,,True
Golden State Warriors,10.0,240.0,43.8,96.1,0.456,,,,43.8,96.1,0.456,18.0,23.3,0.773,19.2,31.4,50.6,24.4,8.7,4.1,18.0,24.3,105.6,1977,,True
Denver Nuggets,6.0,244.2,39.8,88.7,0.449,,,,39.8,88.7,0.449,25.2,36.2,0.696,15.3,32.2,47.5,25.2,9.7,6.8,20.0,27.7,104.8,1977,,True
Washington Bullets,9.0,242.8,41.4,89.0,0.466,,,,41.4,89.0,0.466,21.4,30.1,0.712,12.7,31.6,44.2,21.1,6.4,4.9,17.4,22.9,104.3,1977,,True
Boston Celtics,9.0,240.0,41.1,94.7,0.434,,,,41.1,94.7,0.434,21.8,27.3,0.797,15.0,34.6,49.6,25.6,6.6,2.9,20.1,27.3,104.0,1977,,True
Los Angeles Lakers,11.0,240.0,40.7,87.2,0.467,,,,40.7,87.2,0.467,21.9,29.0,0.755,14.5,32.4,46.8,23.7,10.5,5.6,20.0,22.5,103.4,1977,,True
San Antonio Spurs,2.0,240.0,41.0,92.0,0.446,,,,41.0,92.0,0.446,19.5,31.0,0.629,11.5,26.5,38.0,23.5,8.0,4.0,18.0,26.0,101.5,1977,,True
Detroit Pistons,3.0,240.0,42.0,90.0,0.467,,,,42.0,90.0,0.467,17.3,26.7,0.65,15.7,31.7,47.3,23.0,7.3,6.7,19.0,24.3,101.3,1977,,True
Cleveland Cavaliers,3.0,240.0,41.0,102.0,0.402,,,,41.0,102.0,0.402,14.3,21.0,0.683,18.7,34.7,53.3,23.0,8.7,5.3,16.0,29.0,96.3,1977,,True
Chicago Bulls,3.0,240.0,35.3,79.3,0.445,,,,35.3,79.3,0.445,25.3,30.0,0.844,16.0,29.7,45.7,22.0,10.3,4.7,27.3,22.3,96.0,1977,,True
League Average,9.0,240.9,42.4,90.7,0.468,,,,42.4,90.7,0.468,20.6,28.2,0.732,14.6,31.9,46.5,24.2,9.0,5.2,19.7,25.7,105.4,1977,,True
Philadelphia 76ers,82.0,241.8,44.2,91.1,0.486,,,,44.2,91.1,0.486,26.3,34.9,0.752,15.8,32.9,48.7,27.1,9.8,6.7,21.4,26.7,114.7,1978,True,False
San Antonio Spurs,82.0,241.2,46.3,92.6,0.5,,,,46.3,92.6,0.5,21.9,27.2,0.804,12.6,31.6,44.2,27.3,9.7,6.7,20.3,22.8,114.5,1978,True,False
New York Knicks,82.0,244.0,46.5,95.4,0.488,,,,46.5,95.4,0.488,20.4,27.1,0.751,14.4,32.8,47.2,28.5,10.0,5.4,21.5,26.7,113.4,1978,True,False
Milwaukee Bucks,82.0,243.7,46.4,96.1,0.482,,,,46.4,96.1,0.482,19.7,27.1,0.726,15.1,30.2,45.4,28.1,10.6,5.8,20.5,24.9,112.4,1978,True,False
Phoenix Suns,82.0,241.2,45.5,95.6,0.476,,,,45.5,95.6,0.476,21.3,28.4,0.751,14.2,31.5,45.7,28.5,12.9,4.5,21.5,23.9,112.3,1978,True,False
Denver Nuggets,82.0,241.8,43.3,90.7,0.477,,,,43.3,90.7,0.477,25.2,33.0,0.765,14.4,33.4,47.7,26.7,10.0,5.1,21.3,25.8,111.8,1978,True,False
Los Angeles Lakers,82.0,241.5,45.5,93.6,0.487,,,,45.5,93.6,0.487,19.2,25.5,0.752,13.9,32.3,46.1,27.2,9.8,5.0,18.9,24.0,110.3,1978,True,False
Washington Bullets,82.0,241.8,43.7,94.8,0.461,,,,43.7,94.8,0.461,23.0,32.4,0.711,16.5,34.3,50.8,23.8,8.1,4.7,19.7,22.9,110.3,1978,True,False
Kansas City Kings,82.0,241.8,43.9,94.3,0.466,,,,43.9,94.3,0.466,21.6,27.6,0.785,14.7,32.1,46.8,24.3,9.7,4.5,20.6,27.2,109.5,1978,False,False
Detroit Pistons,82.0,242.1,43.3,90.5,0.478,,,,43.3,90.5,0.478,22.3,30.4,0.736,15.0,31.7,46.7,22.4,10.6,4.0,22.7,24.1,109.0,1978,False,False
Indiana Pacers,82.0,241.8,42.7,94.9,0.45,,,,42.7,94.9,0.45,23.2,31.3,0.743,16.9,32.0,48.9,24.2,9.9,5.6,20.0,27.2,108.6,1978,False,False
Portland Trail Blazers,82.0,240.6,43.4,89.8,0.483,,,,43.4,89.8,0.483,20.9,27.5,0.76,14.5,32.8,47.2,25.2,9.7,4.8,19.8,25.2,107.7,1978,True,False
New Orleans Jazz,82.0,241.2,43.5,94.1,0.462,,,,43.5,94.1,0.462,20.6,28.4,0.725,16.0,35.5,51.4,25.4,8.1,6.3,20.7,23.6,107.6,1978,False,False
New Jersey Nets,82.0,242.7,43.3,97.6,0.443,,,,43.3,97.6,0.443,20.1,28.1,0.717,15.9,31.6,47.6,22.9,10.5,7.7,21.6,28.2,106.7,1978,False,False
Golden State Warriors,82.0,241.2,43.6,93.3,0.467,,,,43.6,93.3,0.467,18.9,25.4,0.745,14.4,32.1,46.5,25.6,10.6,4.9,18.5,25.8,106.1,1978,False,False
